date,developerResponse,review,rating,isEdited,userName,title
2023-10-20 03:05:29,"{'id': 40352731, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -RY', 'modified': '2023-11-27T04:09:08Z'}",Update mulu perasaan tapi setiap buka lemot,2,False,Bisanisanya12,Hadeh
2022-02-18 10:02:19,"{'id': 28173337, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T14:29:37Z'}","Bisa log in namun tidak bisa cek saldo, melakukan pengkinian data. Tidak bisa membuka RSJHT. Overall fiture aplikasi belum bisa digunakan.",1,False,mizu-90,Menu aplikasi tidak bisa digunakan
2022-07-29 08:29:08,"{'id': 41238045, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iqbal.\r\n', 'modified': '2024-01-12T03:05:10Z'}","Dear bpjs, kalo emang developer nya kurang mumpuni buat bikin fitur verifikasi biometrik mending jangan bikin dulu, daripada mempersulit orang
Atau emang ini trik untuk mempersulit klaim? Entahlah",1,False,hprasetyou,Verifikasi biometrik
2022-02-06 10:15:36,"{'id': 28175685, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T16:07:16Z'}","Input my email and password, also reset the password to make sure it’s right. But still, can’t login",1,False,rmahendra,Problem with login
2022-06-15 17:02:33,"{'id': 30907614, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan. Terimakasih telah menggunakan aplikasi JMO (Jamsostek Mobile), penilaian Sahabat sangat penting untuk peningkatan layanan kami. Apabila membutuhkan informasi, permintaan atau keluhan dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -IO', 'modified': '2022-07-15T10:01:57Z'}","Ini pake vendor mana si, ga lulus testing langsung di release apa gimana?",1,False,Boysmtv,Coba Perbaiki
2022-02-09 04:05:36,"{'id': 28175488, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T15:57:54Z'}",Apakah harus buat email dan kata sandi baru lagi di aplikasi baru ini? Log in koq gak bisa terus. Harusnya sama dengan app lama supaya tidak merepotkan pengguna.,1,False,Vinceluck,Email
2022-02-20 11:54:50,"{'id': 28855618, 'body': 'Yth. Bapak/Ibu pengguna Aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terima kasih. -Fani\n', 'modified': '2022-03-29T15:47:14Z'}","dari semenjak tgl 18 feb siang gk bs cek saldo, dan saat klik kartu digital pun data tidak ditemukan. di website sprti itu bngung sbnernya knp… pdhl pgn sgra klaim jht… tolong aplikasinya di upgrade lgi dong biar gk srg lag.",3,False,k0okienuna,lag system apk
2022-02-08 09:58:24,"{'id': 28175547, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -Iwan', 'modified': '2022-02-21T15:59:50Z'}","Masih bagus yg versi lama
Versi baru muter2 terus susah bgt mau login 😓",3,False,an111213,Ulasan
2022-05-20 19:43:04,"{'id': 30908008, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, mohon maaf atas ketidaknyamanannya. BPJS Ketenagakerjaan terus melakukan peningkatan aplikasi. Mohon dicoba secara berkala dan melakukan pembaruan aplikasi. Untuk kendala lebih lanjut dapat menghubungi Care Contact Center 175 atau email: care@bpjsketenagakerjaan.go.id. Terimakasih -IO', 'modified': '2022-07-15T10:19:40Z'}","BUMN kok bikin aplikasi kaya gini, bisa login tapi gak bisa cek apa2. Anggaran aplikasinya di korup apa gak becus cari Developer?",1,False,Youghhie,Dev gak becus
2022-09-25 04:04:16,"{'id': 41089258, 'body': 'Yth. Bapak/Ibu pengguna aplikasi BPJS Ketenagakerjaan, perihal gagal biometrik dengan tujuan klaim Jaminan Hari Tua (JHT) melalui aplikasi Jamsostek Mobile (JMO) maka akan muncul notifikasi yang mengarahkan klaim melalui Lapak Asik. Silakan Bapak/Ibu mengajukan klaim JHT melalui fitur tersebut dengan klik menu Lapak Asik, meskipun saldo dibawah Rp10.000.000,-. -VD', 'modified': '2024-01-05T03:22:11Z'}","Tidak bisa melakukan pengkinian data sampai verifikasi biometrik sudah 3 kali karena selalu forcedclose aplikasi nya kecewa sih padahal ini aplikasi sangat penting menurut saya, tapi kok sistem nya kurang baik, mohon di perbaiki lagi untuk kedepan nya",1,False,nurfasya,Kecewa
